Company,Product,Price_euros,Laptop_Rank
Acer,"Predator G9-793",2599,1
Acer,"Predator G9-793",2299,2
Acer,"Predator 17",1935,3
Acer,"Aspire VX5-591G",1299,4
Acer,"Nitro 5",1260,5
Acer,"SP714-51 (i7-7Y75/8GB/256GB/FHD/W10)",1149,6
Acer,"Aspire F5-573G-510L",1009,7
Acer,"Spin 5",999,8
Acer,"Swift 7",989,9
Acer,"Aspire A715-71G",979,10
Acer,"Aspire A517-51G",951,11
Acer,"Swift 3",919,12
Acer,"TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10)",902,13
Acer,"Swift 3",884,14
Acer,"Aspire 7",879,15
Acer,"Aspire A517-51G",854,16
Acer,"Spin 5",847,17
Acer,"Aspire 7",846,18
Acer,"Nitro AN515-51",846,18
Acer,"Aspire A515-51G",841,20
Acer,"Aspire E5-576G",832,21
Acer,"Aspire A517-51G",805,22
Acer,"Aspire F5-573G",799,23
Acer,"Aspire 7",798,24
Acer,"Aspire R7",789.01,25
Acer,"Aspire 7",779,26
Acer,"Swift 3",770,27
Acer,"Aspire A515-51G",745,28
Acer,"Aspire E5-576G",742,29
Acer,"A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce",709,30
Acer,"Aspire 5",702,31
Acer,"Aspire 5",693.99,32
Acer,"Aspire E5-576G",691,33
Acer,"Aspire R7",689,34
Acer,"Aspire 5",689,34
Acer,"Aspire A515-51G",682,36
Acer,"SP315-51 (i7-7500U/12GB/1TB/FHD/W10)",659,37
Acer,"Aspire 5",659,37
Acer,"TravelMate P238-M",655,39
Acer,"Aspire 5",655,39
Acer,"Aspire A515-51G",639,41
Acer,"Swift 3",636,42
Acer,"Aspire E5-774G",629,43
Acer,"TravelMate P259-G2",619,44
Acer,"Swift 3",619,44
Acer,"Aspire E5-576G",616,46
Acer,"Aspire A515-51G-59QF",613,47
Acer,"Aspire 3",599,48
Acer,"E5 774G",598,49
Acer,"Aspire 5",579,50
Acer,"Aspire A515-51G-37JS",572,51
Acer,"Extensa EX2540-58KR",559,52
Acer,"Aspire E5-575",549,53
Acer,"Aspire E5-576G",544,54
Acer,"Aspire A515-51G-32MX",530,55
Acer,"Aspire E5-575",499,56
Acer,"TravelMate B",485,57
Acer,"Spin 3",479,58
Acer,"Aspire 5",469,59
Acer,"ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10)",469,59
Acer,"Aspire 3",451,61
Acer,"Extensa EX2540",450,62
Acer,"Aspire A315-51",449,63
Acer,"Aspire ES1-523",449,63
Acer,"Aspire A315-51",447,65
Acer,"Aspire ES1-572",441.8,66
Acer,"TravelMate B",435,67
Acer,"Aspire 3",426,68
Acer,"Aspire 3",412,69
Acer,"Aspire ES1-572",410.8,70
Acer,"Aspire 3",409,71
Acer,"Aspire 3",400,72
Acer,"Aspire 3",395,73
Acer,"Aspire A315-51",390,74
Acer,"Chromebook C738T-C2EJ",389,75
Acer,"Aspire E5-475",389,75
Acer,"Aspire ES1-523",387,77
Acer,"Aspire 3",384,78
Acer,"Aspire ES1-533",380,79
Acer,"CB5-132T-C9KK (N3160/4GB/32GB/Chrome",379,80
Acer,"Chromebook 14",375,81
Acer,"Aspire 3",367,82
Acer,"Aspire 3",363.51,83
Acer,"Aspire ES1-572",361.8,84
Acer,"Chromebook CB5-571-C1DZ",359,85
Acer,"Chromebook 11",355,86
Acer,"Swift SF114-31-P5HY",349,87
Acer,"Spin SP111-31",349,87
Acer,"Chromebook 14",349,87
Acer,"Aspire A315-31",348,90
Acer,"Aspire 3",333,91
Acer,"Chromebook 14",330,92
Acer,"Aspire 1",329,93
Acer,"Aspire A315-31",298,94
Acer,"Chromebook C731-C78G",297,95
Acer,"Aspire ES1-531",289,96
Acer,"Aspire 3",272,97
Acer,"TravelMate B117-M",269,98
Acer,"Chromebook 15",209,99
Acer,"Chromebook C910-C2ST",199,100
Acer,"C740-C9QX (3205U/2GB/32GB/Chrome",174,101
Apple,"MacBook Pro",2858,1
Apple,"MacBook Pro",2537.45,2
Apple,"MacBook Pro",2439.97,3
Apple,"MacBook Pro",2139.97,4
Apple,"MacBook Pro",2040,5
Apple,"MacBook Pro",1958.9,6
Apple,"MacBook Pro",1803.6,7
Apple,"MacBook Pro",1518.55,8
Apple,"MacBook 12""",1510,9
Apple,"MacBook Pro",1419,10
Apple,"MacBook Pro",1339.69,11
Apple,"MacBook 12""",1300,12
Apple,"MacBook 12""",1279,13
Apple,"MacBook 12""",1262.4,14
Apple,"MacBook 12""",1165,15
Apple,"MacBook 12""",1163,16
Apple,"Macbook Air",1158.7,17
Apple,"MacBook Air",1099,18
