Company,Product,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model
Dell,"Inspiron 3567",Notebook,15.6,4,"Windows 10",2.2,498.9,"Full HD",1920,1080,No,No,No,Intel,2,"Core i3 6006U",256,0,SSD,No,AMD,"Radeon R5 M430"
Dell,"Inspiron 3567",Notebook,15.6,8,"Windows 10",2.2,745,"Full HD",1920,1080,No,No,No,Intel,2.7,"Core i7 7500U",256,0,SSD,No,AMD,"Radeon R5 M430"
Dell,"XPS 13",Ultrabook,13.3,8,"Windows 10",1.22,979,"Full HD",1920,1080,Yes,Yes,No,Intel,1.6,"Core i5 8250U",128,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 5379","2 in 1 Convertible",13.3,8,"Windows 10",1.62,819,"Full HD",1920,1080,Yes,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 3567",Notebook,15.6,4,"Windows 10",2.3,418.64,Standard,1366,768,No,No,No,Intel,2,"Core i3 6006U",1024,0,HDD,No,Intel,"HD Graphics 520"
Dell,"Inspiron 5570",Notebook,15.6,8,"Windows 10",2.2,800,"Full HD",1920,1080,No,No,No,Intel,1.6,"Core i5 8250U",256,0,SSD,No,AMD,"Radeon 530"
Dell,"Latitude 5590",Ultrabook,15.6,8,"Windows 10",1.88,1298,"Full HD",1920,1080,No,No,No,Intel,1.9,"Core i7 8650U",256,256,SSD,SSD,Intel,"UHD Graphics 620"
Dell,"XPS 13",Ultrabook,13.3,16,"Windows 10",1.2,1869,"Quad HD+",3200,1800,Yes,No,No,Intel,1.8,"Core i7 8550U",512,0,SSD,No,Intel,"UHD Graphics 620"
Dell,"Inspiron 5770",Notebook,17.3,8,"Windows 10",2.8,979,"Full HD",1920,1080,No,Yes,No,Intel,1.6,"Core i5 8250U",128,1024,SSD,HDD,AMD,"Radeon 530"
Dell,"Inspiron 7577",Gaming,15.6,16,"Windows 10",2.65,1499,"Full HD",1920,1080,No,Yes,No,Intel,2.8,"Core i7 7700HQ",256,1024,SSD,HDD,Nvidia,"GeForce GTX 1060"
