Company,Product,OS,Ram
Acer,"Swift 3","Windows 10",8
Dell,"Inspiron 3567","Windows 10",8
Dell,"XPS 13","Windows 10",8
Lenovo,"Legion Y520-15IKBN","Windows 10",8
Dell,"Inspiron 5379","Windows 10",8
HP,"15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
Dell,"Latitude 5590","Windows 10",8
HP,"ProBook 470","Windows 10",8
Dell,"Inspiron 5770","Windows 10",8
HP,"ProBook 450","Windows 10",8
Asus,"Rog Strix","Windows 10",8
Acer,"Aspire A515-51G","Windows 10",8
HP,"ProBook 430","Windows 10",8
Dell,"Inspiron 3576","Windows 10",8
Dell,"Vostro 5471","Windows 10",8
Asus,"UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)","Windows 10",8
HP,"250 G6","Windows 10",8
Dell,"Inspiron 5370","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
MSI,"GL72M 7RDX","Windows 10",8
Acer,"Aspire E5-475","Windows 10",8
Asus,"FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce","Windows 10",8
Dell,"Inspiron 5570","Windows 10",8
HP,"ProBook 470","Windows 10",8
Dell,"Latitude 5590","Windows 10",8
HP,"ProBook 440","Windows 10",8
HP,"Pavilion 15-CK000nv","Windows 10",8
HP,"250 G6","Windows 10",8
Dell,"XPS 13","Windows 10",8
Asus,"FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon","Windows 10",8
Acer,"Aspire 5","Windows 10",8
Dell,"Inspiron 7577","Windows 10",8
Asus,"Zenbook UX430UA","Windows 10",8
Acer,"Spin 5","Windows 10",8
HP,"15-bs017nv (i7-7500U/8GB/256GB/Radeon","Windows 10",8
HP,"Envy 13-ad009n","Windows 10",8
Asus,"UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce","Windows 10",8
Lenovo,"Thinkpad T470","Windows 10",8
Dell,"XPS 13","Windows 10",8
Lenovo,"ThinkPad Yoga","Windows 10",8
