Company,Product,Price_euros
Xiaomi,"Mi Notebook",999.9
Lenovo,"Legion Y520-15IKBN",999
Lenovo,"IdeaPad 720S-13IKB",999
Asus,"FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce",999
Acer,"Spin 5",999
Lenovo,"Flex 5",999
Lenovo,"IdeaPad Y700-15ACZ",999
Dell,"Inspiron 7579",999
MSI,"GV62M 7RD",997.9
Acer,"Swift 7",989
Microsoft,"Surface Laptop",989
Lenovo,"Legion Y520-15IKBN",989
HP,"Probook 440",988
Dell,"Inspiron 5570",985
Dell,"Inspiron 7567",985
HP,"ProBook 640",980
Dell,"XPS 13",979
Dell,"Inspiron 5770",979
Acer,"Aspire A715-71G",979
Dell,"Inspiron 5570",979
HP,"Probook 450",979
HP,"ProBook 450",979
HP,"ProBook 470",977
Asus,"VivoBook S15",977
Toshiba,"Satellite Pro",973
HP,"ProBook 440",973
Dell,"Inspiron 5570",970.9
Lenovo,"ThinkPad 13",960
HP,"Probook 430",960
HP,"ProBook 430",959
Lenovo,"Yoga 510-15IKB",959
Dell,"Inspiron 5370",955
Acer,"Aspire A517-51G",951
Dell,"Vostro 5370",949
Lenovo,"ThinkPad 13",949
Lenovo,"ThinkPad 13",949
Lenovo,"IdeaPad 320-17IKB",949
Lenovo,"IdeaPad 320-15ABR",949
Asus,"Zenbook UX410UA-GV027T",945
Dell,"Latitude 5580",945
Toshiba,"Satellite Pro",943
Asus,"UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)",941
Asus,"FX753VD-GC086T (i5-7300HQ/8GB/1TB",938
Lenovo,"ThinkPad L470",938
Xiaomi,"Mi Notebook",935
Dell,"Inspiron 5370",931.88
HP,"ProBook 470",928
Asus,"ZenBook Flip",928
HP,"ProBook 470",923
Acer,"Swift 3",919
Dell,"Inspiron 5570",919
Dell,"Vostro 5568",912.5
Lenovo,"ThinkPad L570",911
Asus,"Rog GL552VW-DM201T",909
Acer,"TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10)",902
Lenovo,"Yoga 520-14IKB",899
Dell,"Inspiron 5567",899
Dell,"Inspiron 5567",899
Dell,"XPS 13",899
